session length: 20
sessions to play for each combine_formula: 3000



seed 1512398 

linear
(69, -419)
(70, -416)
(71, -471)
(72, -470)
(73, -399)
(74, -499)
(75, -606)
(76, -426)
(77, -388)
(78, -476)
(79, -498)
(80, -625)
(81, -374)
(82, -442)
(83, -375)
(84, -504)
(85, -555)
(86, -570)
(87, -483)
(88, -510)
(89, -506)
(90, -469)
(91, -445)
(92, -470)
(93, -396)
(94, -377)
(95, -498)
(96, -443)
(97, -489)
(98, -472)
-46645
2 2 2999 


seed 1283218 

linear
(0, 784)
(1, 844)
(2, 793)
(3, 664)
(4, 697)
(5, 828)
(6, 754)
(7, 784)
(8, 657)
(9, 734)
(10, 700)
(11, 803)
(12, 731)
(13, 800)
(14, 637)
(15, 723)
(16, 810)
(17, 787)
(18, 673)
(19, 658)
(20, 750)
(21, 759)
(22, 672)
(23, 803)
(24, 690)
(25, 691)
(26, 716)
(27, 673)
(28, 654)
(29, 754)
(30, 833)
(31, 730)
(32, 731)
(33, 737)
(34, 674)
(35, 694)
(36, 753)
(37, 705)
(38, 700)
(39, 763)
(40, 704)
(41, 753)
(42, 627)
(43, 782)
(44, 710)
(45, 706)
(46, 823)
(47, 853)
(48, 744)
(49, 865)
(50, 685)
(51, 808)
(52, 766)
(53, 820)
(54, 832)
(55, 767)
(56, 774)
(57, 833)
(58, 764)
(59, 768)
(60, 766)
(61, 770)
(62, 777)
(63, 875)
(64, 747)
(65, 879)
(66, 903)
(67, 891)
(68, 889)
(69, 800)
(70, 964)
(71, 789)
(72, 749)
(73, 742)
(74, 752)
(75, 769)
(76, 858)
(77, 807)
(78, 840)
(79, 788)
(80, 794)
(81, 873)
(82, 889)
(83, 826)
(84, 762)
(85, 874)
(86, 819)
(87, 872)
(88, 705)
(89, 827)
(90, 938)
(91, 902)
(92, 904)
(93, 904)
(94, 864)
(95, 831)
(96, 884)
(97, 872)
(98, 950)
(99, 877)
78249

arithmetic
(0, 865)
(1, 786)
(2, 846)
(3, 930)
(4, 960)
(5, 873)
(6, 601)
(7, 953)
(8, 734)
(9, 928)
(10, 631)
(11, 886)
(12, 771)
(13, 435)
(14, 626)
(15, 686)
(16, 865)
(17, 568)
(18, 807)
(19, 717)
(20, 632)
(21, 670)
(22, 708)
(23, 1027)
(24, 690)
(25, 818)
(26, 882)
(27, 802)
(28, 788)
(29, 744)
(30, 750)
(31, 859)
(32, 864)
(33, 838)
(34, 686)
(35, 842)
(36, 818)
(37, 827)
(38, 839)
(39, 786)
(40, 967)
(41, 823)
(42, 859)
(43, 846)
(44, 1063)
(45, 673)
(46, 940)
(47, 775)
(48, 789)
(49, 862)
(50, 829)
(51, 888)
(52, 808)
(53, 821)
(54, 864)
(55, 899)
(56, 872)
(57, 964)
(58, 908)
(59, 990)
(60, 951)
(61, 885)
(62, 750)
(63, 751)
(64, 875)
(65, 882)
(66, 684)
(67, 1002)
(68, 835)
(69, 747)
(70, 1064)
(71, 806)
(72, 990)
(73, 604)
(74, 848)
(75, 763)
(76, 958)
(77, 907)
(78, 892)
(79, 792)
(80, 943)
(81, 998)
(82, 921)
(83, 952)
(84, 920)
(85, 1088)
(86, 947)
(87, 957)
(88, 921)
(89, 995)
(90, 820)
(91, 944)
(92, 1095)
(93, 964)
(94, 791)
(95, 885)
(96, 941)
(97, 791)
(98, 864)
(99, 1019)
84520

pythagorean
(0, -187)
(1, -394)
(2, -101)
(3, -260)
(4, -192)
(5, -369)
(6, -150)
(7, -148)
(8, -131)
(9, -223)
(10, -301)
(11, -190)
(12, -11)
(13, -351)
(14, -264)
(15, -332)
(16, -167)
(17, -276)
(18, -323)
(19, -316)
(20, 27)
(21, -206)
(22, -216)
(23, -193)
(24, -188)
(25, -250)
(26, -5)
(27, -379)
(28, 8)
(29, -262)
(30, -52)
(31, -30)
(32, -110)
(33, -202)
(34, 17)
(35, -60)
(36, 124)
(37, -287)
(38, -103)
(39, -137)
(40, -197)
(41, 17)
(42, -175)
(43, -70)
(44, -38)
(45, -224)
(46, -38)
(47, -73)
(48, 34)
(49, -159)
(50, -162)
(51, -309)
(52, -66)
(53, -369)
(54, -54)
(55, -165)
(56, -336)
(57, -6)
(58, -499)
(59, 26)
(60, -367)
(61, -75)
(62, -256)
(63, -246)
(64, -39)
(65, 30)
(66, -505)
(67, 100)
(68, -215)
(69, 58)
(70, -103)
(71, -126)
(72, -200)
(73, -76)
(74, 147)
(75, 118)
(76, -53)
(77, 78)
(78, -156)
(79, 26)
(80, -199)
(81, -23)
(82, -15)
(83, 23)
(84, 25)
(85, -217)
(86, -238)
(87, -115)
(88, -71)
(89, -10)
(90, -124)
(91, -274)
(92, -110)
(93, 10)
(94, -67)
(95, -179)
(96, -132)
(97, -13)
(98, -32)
(99, -152)
-13826

GMAB
(0, 762)
(1, 652)
(2, 754)
(3, 744)
(4, 623)
(5, 798)
(6, 691)
(7, 731)
(8, 673)
(9, 836)
(10, 720)
(11, 712)
(12, 825)
(13, 728)
(14, 781)
(15, 785)
(16, 745)
(17, 792)
(18, 796)
(19, 768)
(20, 775)
(21, 827)
(22, 739)
(23, 694)
(24, 777)
(25, 821)
(26, 729)
(27, 803)
(28, 849)
(29, 760)
(30, 720)
(31, 728)
(32, 716)
(33, 744)
(34, 792)
(35, 730)
(36, 651)
(37, 703)
(38, 768)
(39, 710)
(40, 858)
(41, 584)
(42, 760)
(43, 732)
(44, 842)
(45, 666)
(46, 740)
(47, 736)
(48, 805)
(49, 876)
(50, 790)
(51, 713)
(52, 715)
(53, 839)
(54, 776)
(55, 724)
(56, 772)
(57, 867)
(58, 757)
(59, 644)
(60, 829)
(61, 708)
(62, 780)
(63, 778)
(64, 778)
(65, 736)
(66, 724)
(67, 821)
(68, 757)
(69, 787)
(70, 767)
(71, 718)
(72, 852)
(73, 624)
(74, 757)
(75, 808)
(76, 712)
(77, 848)
(78, 713)
(79, 701)
(80, 739)
(81, 860)
(82, 804)
(83, 738)
(84, 793)
(85, 770)
(86, 782)
(87, 746)
(88, 738)
(89, 754)
(90, 663)
(91, 812)
(92, 723)
(93, 777)
(94, 696)
(95, 720)
(96, 762)
(97, 597)
(98, 644)
75185
2999 2 2 


seed 8374263 

linear
(0, -10)
(1, -2)
(2, 69)
(3, 51)
(4, 156)
(5, 128)
(6, -12)
(7, 100)
(8, 108)
(9, 130)
(10, 77)
(11, 10)
(12, -31)
(13, -36)
(14, 130)
(15, 178)
(16, -89)
(17, 65)
(18, 149)
(19, 164)
(20, 63)
(21, 254)
(22, 90)
(23, 135)
(24, 186)
(25, 253)
(26, 133)
(27, 253)
(28, 289)
(29, 150)
(30, 145)
(31, 211)
(32, 223)
(33, 298)
(34, 249)
(35, 228)
(36, 258)
(37, 249)
(38, 226)
(39, 337)
(40, 154)
(41, 144)
(42, 189)
(43, 277)
(44, 310)
(45, 216)
(46, 206)
(47, 358)
(48, 323)
(49, 299)
(50, 344)
(51, 266)
(52, 336)
(53, 286)
(54, 319)
(55, 236)
(56, 396)
(57, 311)
(58, 384)
(59, 425)
(60, 238)
(61, 439)
(62, 470)
(63, 438)
(64, 327)
(65, 310)
(66, 368)
(67, 255)
(68, 447)
(69, 367)
(70, 418)
(71, 413)
(72, 251)
(73, 306)
(74, 330)
(75, 324)
(76, 387)
(77, 252)
(78, 278)
(79, 365)
(80, 359)
(81, 415)
(82, 340)
(83, 295)
(84, 540)
(85, 627)
(86, 515)
(87, 644)
(88, 553)
(89, 461)
(90, 477)
(91, 584)
(92, 573)
(93, 745)
(94, 575)
(95, 547)
(96, 595)
(97, 599)
(98, 558)
(99, 660)
28989

arithmetic
(0, 217)
(1, 243)
(2, 299)
(3, 329)
(4, 333)
(5, 248)
(6, 319)
(7, 325)
(8, 314)
(9, 285)
(10, 215)
(11, 300)
(12, 241)
(13, 246)
(14, 369)
(15, 259)
(16, 449)
(17, 265)
(18, 229)
(19, 252)
(20, 195)
(21, 396)
(22, 268)
(23, 310)
(24, 364)
(25, 329)
(26, 282)
(27, 167)
(28, 239)
(29, 241)
(30, 303)
(31, 395)
(32, 392)
(33, 293)
(34, 331)
(35, 331)
(36, 321)
(37, 348)
(38, 458)
(39, 332)
(40, 376)
(41, 356)
(42, 421)
(43, 341)
(44, 398)
(45, 245)
(46, 371)
(47, 314)
(48, 314)
(49, 350)
(50, 257)
(51, 357)
(52, 352)
(53, 241)
(54, 382)
(55, 350)
(56, 466)
(57, 404)
(58, 279)
(59, 401)
(60, 447)
(61, 320)
(62, 327)
(63, 442)
(64, 327)
(65, 445)
(66, 386)
(67, 375)
(68, 414)
(69, 387)
(70, 431)
(71, 459)
(72, 554)
(73, 413)
(74, 332)
(75, 563)
(76, 372)
(77, 406)
(78, 490)
(79, 470)
(80, 509)
(81, 533)
(82, 458)
(83, 387)
(84, 391)
(85, 547)
(86, 574)
(87, 581)
(88, 583)
(89, 585)
(90, 498)
(91, 504)
(92, 506)
(93, 595)
(94, 667)
(95, 513)
(96, 531)
(97, 514)
(98, 582)
(99, 509)
37934

pythagorean
(0, 138)
(1, 400)
(2, 131)
(3, -21)
(4, 110)
(5, 2)
(6, -102)
(7, 57)
(8, 124)
(9, 149)
(10, 139)
(11, 373)
(12, 293)
(13, 108)
(14, -75)
(15, 82)
(16, 127)
(17, 61)
(18, 93)
(19, 55)
(20, 27)
(21, 0)
(22, 146)
(23, -18)
(24, 326)
(25, -143)
(26, 73)
(27, 158)
(28, 63)
(29, 266)
(30, -117)
(31, 132)
(32, 333)
(33, 56)
(34, 67)
(35, 312)
(36, -85)
(37, 113)
(38, 158)
(39, 119)
(40, 25)
(41, 155)
(42, 92)
(43, 80)
(44, 387)
(45, 179)
(46, 140)
(47, 88)
(48, 235)
(49, 156)
(50, 307)
(51, 248)
(52, 176)
(53, 164)
(54, 110)
(55, 150)
(56, 295)
(57, 410)
(58, 261)
(59, 81)
(60, 251)
(61, 242)
(62, 268)
(63, 336)
(64, 265)
(65, 126)
(66, 331)
(67, 87)
(68, 305)
(69, 83)
(70, 234)
(71, 344)
(72, 104)
(73, 303)
(74, 290)
(75, 14)
(76, 184)
(77, 293)
(78, 278)
(79, 128)
(80, 241)
(81, 256)
(82, 134)
(83, 184)
(84, 406)
(85, 281)
(86, 187)
(87, 287)
(88, 134)
(89, -7)
(90, 73)
(91, 264)
(92, 142)
(93, 145)
(94, 326)
(95, 22)
(96, 527)
(97, 271)
(98, 323)
(99, 0)
16631

GMAB
(0, 1444)
(1, 1531)
(2, 1354)
(3, 1300)
(4, 1340)
(5, 1380)
(6, 1455)
(7, 1188)
(8, 1480)
(9, 1251)
(10, 1533)
(11, 1369)
(12, 1453)
(13, 1588)
(14, 1428)
(15, 1446)
(16, 1525)
(17, 1240)
(18, 1603)
(19, 1590)
(20, 1370)
(21, 1342)
(22, 1579)
(23, 1560)
(24, 1427)
(25, 1473)
(26, 1360)
(27, 1443)
(28, 1334)
(29, 1418)
(30, 1420)
(31, 1369)
(32, 1572)
(33, 1654)
(34, 1301)
(35, 1496)
(36, 1509)
(37, 1319)
(38, 1524)
(39, 1452)
(40, 1505)
(41, 1452)
(42, 1457)
(43, 1312)
(44, 1274)
(45, 1356)
(46, 1384)
(47, 1535)
(48, 1368)
(49, 1399)
(50, 1374)
(51, 1375)
(52, 1264)
(53, 1242)
(54, 1473)
(55, 1362)
(56, 1521)
(57, 1292)
